country,date,words
AT,2020-02-27,99201
AT,2020-03-14,707
AT,2020-03-15,27557
AT,2020-03-19,447
AT,2020-03-20,39475
AT,2020-04-02,838
AT,2020-04-03,49790
AT,2020-04-22,98179
AT,2020-04-28,115037
AT,2020-05-08,298
AT,2020-05-13,32844
AT,2020-05-26,294319
AT,2020-05-29,93028
AT,2020-06-17,121480
AT,2020-06-18,90989
AT,2020-06-30,32871
AT,2020-07-07,90850
AT,2020-07-08,114922
AT,2020-07-09,90120
AT,2020-09-14,26709
AT,2020-09-23,119219
AT,2020-10-07,27939
AT,2020-10-14,103216
AT,2020-10-15,83859
AT,2020-11-05,29621
AT,2020-11-17,291814
AT,2020-11-19,13173
AT,2020-11-20,86577
AT,2020-11-26,21320
AT,2020-12-10,133708
AT,2020-12-11,120125
AT,2020-12-21,58800
AT,2021-01-13,32149
AT,2021-01-14,51110
AT,2021-01-20,122472
AT,2021-02-04,28458
AT,2021-02-16,26423
AT,2021-02-24,128289
AT,2021-03-08,27762
AT,2021-03-24,127830
AT,2021-03-25,110542
AT,2021-03-26,78899
AT,2021-04-09,29753
AT,2021-04-21,110396
AT,2021-04-22,56924
AT,2021-05-03,24590
AT,2021-05-17,25101
AT,2021-05-19,88177
AT,2021-05-20,92893
AT,2021-05-26,27245
AT,2021-06-16,134989
AT,2021-06-17,102175
AT,2021-07-07,124880
AT,2021-07-08,124798
AT,2021-07-19,24942
AT,2021-09-22,106076
AT,2021-10-12,48940
AT,2021-10-13,82292
AT,2021-10-14,110199
AT,2021-11-16,262778
AT,2021-11-18,7206
AT,2021-11-19,83189
AT,2021-12-09,53997
AT,2021-12-15,106466
AT,2021-12-16,108512
AT,2022-01-20,113729
AT,2022-02-23,131
AT,2022-02-24,71208
AT,2022-03-08,46963
AT,2022-03-23,81808
AT,2022-03-24,93116
AT,2022-04-05,25705
AT,2022-04-27,104998
AT,2022-05-18,107144
AT,2022-05-19,89265
AT,2022-06-14,87117
AT,2022-06-15,123053
AT,2022-06-23,58071
AT,2022-07-06,119696
AT,2022-07-07,119139
AT,2022-07-08,104926
AT,2022-09-21,111088
AT,2022-10-03,43657
AT,2022-10-04,29476
AT,2022-10-12,105073
BA,1998-11-26,28419
BA,1998-12-04,3902
BA,1998-12-10,33964
BA,1999-01-11,3227
BA,1999-01-22,45359
BA,1999-02-10,32535
BA,1999-02-25,20003
BA,1999-05-11,19313
BA,1999-05-18,2726
BA,1999-06-09,7355
BA,1999-07-08,27976
BA,1999-07-15,34341
BA,1999-07-19,5625
BA,1999-07-27,10114
BA,1999-08-31,71616
BA,1999-09-17,26135
BA,1999-10-05,116266
BA,1999-10-06,5605
BA,1999-11-10,43878
BA,1999-11-11,11064
BA,1999-11-23,20094
BA,1999-12-01,43348
BA,1999-12-03,8385
BA,1999-12-15,50688
BA,1999-12-29,130231
BA,2000-01-17,6606
BA,2000-02-15,68692
BA,2000-03-02,1910
BA,2000-03-07,65858
BA,2000-03-21,10850
BA,2000-03-30,3690
BA,2000-04-13,2275
BA,2000-04-19,18350
BA,2000-04-27,3335
BA,2000-05-08,39030
BA,2000-06-06,15764
BA,2000-06-07,21233
BA,2000-06-09,4260
BA,2000-06-22,64539
BA,2000-07-06,11214
BA,2000-07-11,7121
BA,2000-07-27,36008
BA,2000-07-31,13148
BA,2000-08-29,112441
BA,2000-09-08,5909
BA,2000-10-13,5082
BA,2000-10-18,49083
BA,2000-10-23,7339
BA,2000-12-29,7883
BA,2001-01-29,9985
BA,2001-02-07,45038
BA,2001-02-22,22523
BA,2001-03-20,7261
BA,2001-03-26,16902
BA,2001-03-27,32587
